,Home,Away,ScoreHome,ScoreAway,Season,NonPenaltyGoalsHome,AgeHome,Goals90minHome,NonPenaltyGoalsAway,AgeAway,Goals90minAway,RankingPlaceHome,GoalForHome,GoalAgainstHome,GoalDifferenceHome,PointsHome,TopTeamScorerGoalsHome,RankingPlaceAway,GoalForAway,GoalAgainstAway,GoalDifferenceAway,PointsAway,TopTeamScorerGoalsAway,HomeT,AwayT
243,Klepp,LSK Kvinner,0.0,2.0,2018,37.0,25.1,39.0,64.0,24.1,68.0,2.0,39.0,21.0,18.0,48.0,10.0,1.0,71.0,15.0,56.0,61.0,21.0,5,7
244,Grand Bodø,LSK Kvinner,0.0,3.0,2018,18.0,23.4,19.0,64.0,24.1,68.0,12.0,20.0,61.0,-41.0,8.0,5.0,1.0,71.0,15.0,56.0,61.0,21.0,3,7
245,Røa,LSK Kvinner,2.0,5.0,2018,38.0,22.7,40.0,64.0,24.1,68.0,7.0,42.0,42.0,0.0,32.0,14.0,1.0,71.0,15.0,56.0,61.0,21.0,10,7
246,Vålerenga,LSK Kvinner,0.0,5.0,2018,32.0,25.6,36.0,64.0,24.1,68.0,6.0,37.0,35.0,2.0,33.0,9.0,1.0,71.0,15.0,56.0,61.0,21.0,14,7
247,Arna-Bjørnar,LSK Kvinner,0.0,1.0,2018,51.0,21.9,52.0,64.0,24.1,68.0,3.0,53.0,26.0,27.0,39.0,15.0,1.0,71.0,15.0,56.0,61.0,21.0,0,7
248,Trondheims-Ørn,LSK Kvinner,2.0,3.0,2018,24.0,21.8,25.0,64.0,24.1,68.0,10.0,25.0,48.0,-23.0,18.0,10.0,1.0,71.0,15.0,56.0,61.0,21.0,13,7
249,Stabæk,LSK Kvinner,0.0,2.0,2018,29.0,23.6,29.0,64.0,24.1,68.0,8.0,29.0,37.0,-8.0,23.0,9.0,1.0,71.0,15.0,56.0,61.0,21.0,12,7
250,Avaldsnes,LSK Kvinner,1.0,4.0,2018,21.0,24.0,24.0,64.0,24.1,68.0,9.0,24.0,38.0,-14.0,21.0,5.0,1.0,71.0,15.0,56.0,61.0,21.0,1,7
251,Lyn,LSK Kvinner,3.0,4.0,2018,24.0,19.8,26.0,64.0,24.1,68.0,11.0,27.0,56.0,-29.0,12.0,9.0,1.0,71.0,15.0,56.0,61.0,21.0,8,7
252,Kolbotn,LSK Kvinner,0.0,5.0,2018,32.0,21.2,34.0,64.0,24.1,68.0,5.0,34.0,35.0,-1.0,39.0,9.0,1.0,71.0,15.0,56.0,61.0,21.0,6,7
253,Klepp,Sandviken,1.0,1.0,2018,37.0,25.1,39.0,40.0,26.4,40.0,2.0,39.0,21.0,18.0,48.0,10.0,4.0,42.0,29.0,13.0,39.0,15.0,5,11
254,Grand Bodø,Sandviken,1.0,3.0,2018,18.0,23.4,19.0,40.0,26.4,40.0,12.0,20.0,61.0,-41.0,8.0,5.0,4.0,42.0,29.0,13.0,39.0,15.0,3,11
255,Røa,Sandviken,3.0,2.0,2018,38.0,22.7,40.0,40.0,26.4,40.0,7.0,42.0,42.0,0.0,32.0,14.0,4.0,42.0,29.0,13.0,39.0,15.0,10,11
256,Vålerenga,Sandviken,1.0,0.0,2018,32.0,25.6,36.0,40.0,26.4,40.0,6.0,37.0,35.0,2.0,33.0,9.0,4.0,42.0,29.0,13.0,39.0,15.0,14,11
257,Arna-Bjørnar,Sandviken,1.0,2.0,2018,51.0,21.9,52.0,40.0,26.4,40.0,3.0,53.0,26.0,27.0,39.0,15.0,4.0,42.0,29.0,13.0,39.0,15.0,0,11
258,LSK Kvinner,Sandviken,6.0,0.0,2018,64.0,24.1,68.0,40.0,26.4,40.0,1.0,71.0,15.0,56.0,61.0,21.0,4.0,42.0,29.0,13.0,39.0,15.0,7,11
259,Trondheims-Ørn,Sandviken,3.0,3.0,2018,24.0,21.8,25.0,40.0,26.4,40.0,10.0,25.0,48.0,-23.0,18.0,10.0,4.0,42.0,29.0,13.0,39.0,15.0,13,11
260,Stabæk,Sandviken,0.0,1.0,2018,29.0,23.6,29.0,40.0,26.4,40.0,8.0,29.0,37.0,-8.0,23.0,9.0,4.0,42.0,29.0,13.0,39.0,15.0,12,11
261,Avaldsnes,Sandviken,0.0,0.0,2018,21.0,24.0,24.0,40.0,26.4,40.0,9.0,24.0,38.0,-14.0,21.0,5.0,4.0,42.0,29.0,13.0,39.0,15.0,1,11
262,Lyn,Sandviken,2.0,4.0,2018,24.0,19.8,26.0,40.0,26.4,40.0,11.0,27.0,56.0,-29.0,12.0,9.0,4.0,42.0,29.0,13.0,39.0,15.0,8,11
263,Kolbotn,Sandviken,1.0,1.0,2018,32.0,21.2,34.0,40.0,26.4,40.0,5.0,34.0,35.0,-1.0,39.0,9.0,4.0,42.0,29.0,13.0,39.0,15.0,6,11
264,LSK Kvinner,Kolbotn,4.0,3.0,2019,44.0,25.3,50.0,32.0,21.8,35.0,1.0,51.0,18.0,33.0,50.0,12.0,8.0,35.0,39.0,-4.0,27.0,8.0,7,6
265,Sandviken,Kolbotn,2.0,2.0,2019,40.0,25.3,43.0,32.0,21.8,35.0,4.0,43.0,32.0,11.0,40.0,17.0,8.0,35.0,39.0,-4.0,27.0,8.0,11,6
266,Klepp,Kolbotn,3.0,0.0,2019,47.0,25.0,48.0,32.0,21.8,35.0,3.0,48.0,19.0,29.0,44.0,10.0,8.0,35.0,39.0,-4.0,27.0,8.0,5,6
267,Lyn,Kolbotn,0.0,0.0,2019,22.0,20.1,23.0,32.0,21.8,35.0,10.0,23.0,37.0,-14.0,20.0,10.0,8.0,35.0,39.0,-4.0,27.0,8.0,8,6
268,Trondheims-Ørn,Kolbotn,4.0,0.0,2019,24.0,21.9,26.0,32.0,21.8,35.0,7.0,26.0,22.0,4.0,29.0,9.0,8.0,35.0,39.0,-4.0,27.0,8.0,13,6
269,Vålerenga,Kolbotn,1.0,0.0,2019,40.0,25.2,41.0,32.0,21.8,35.0,2.0,41.0,24.0,17.0,46.0,11.0,8.0,35.0,39.0,-4.0,27.0,8.0,14,6
270,Arna-Bjørnar,Kolbotn,1.0,3.0,2019,26.0,22.4,26.0,32.0,21.8,35.0,9.0,26.0,41.0,-15.0,23.0,7.0,8.0,35.0,39.0,-4.0,27.0,8.0,0,6
271,Avaldsnes,Kolbotn,2.0,1.0,2019,36.0,24.4,40.0,32.0,21.8,35.0,5.0,40.0,33.0,7.0,34.0,9.0,8.0,35.0,39.0,-4.0,27.0,8.0,1,6
272,Røa,Kolbotn,1.0,2.0,2019,35.0,22.9,39.0,32.0,21.8,35.0,6.0,40.0,35.0,5.0,29.0,16.0,8.0,35.0,39.0,-4.0,27.0,8.0,10,6
273,Stabæk,Kolbotn,2.0,0.0,2019,15.0,24.7,16.0,32.0,21.8,35.0,11.0,16.0,43.0,-27.0,13.0,9.0,8.0,35.0,39.0,-4.0,27.0,8.0,12,6
274,Fart,Kolbotn,2.0,3.0,2019,13.0,21.9,14.0,32.0,21.8,35.0,12.0,14.0,60.0,-46.0,10.0,4.0,8.0,35.0,39.0,-4.0,27.0,8.0,2,6
275,LSK Kvinner,Arna-Bjørnar,3.0,1.0,2019,44.0,25.3,50.0,26.0,22.4,26.0,1.0,51.0,18.0,33.0,50.0,12.0,9.0,26.0,41.0,-15.0,23.0,7.0,7,0
276,Sandviken,Arna-Bjørnar,2.0,0.0,2019,40.0,25.3,43.0,26.0,22.4,26.0,4.0,43.0,32.0,11.0,40.0,17.0,9.0,26.0,41.0,-15.0,23.0,7.0,11,0
277,Klepp,Arna-Bjørnar,4.0,0.0,2019,47.0,25.0,48.0,26.0,22.4,26.0,3.0,48.0,19.0,29.0,44.0,10.0,9.0,26.0,41.0,-15.0,23.0,7.0,5,0
278,Lyn,Arna-Bjørnar,4.0,5.0,2019,22.0,20.1,23.0,26.0,22.4,26.0,10.0,23.0,37.0,-14.0,20.0,10.0,9.0,26.0,41.0,-15.0,23.0,7.0,8,0
279,Trondheims-Ørn,Arna-Bjørnar,0.0,0.0,2019,24.0,21.9,26.0,26.0,22.4,26.0,7.0,26.0,22.0,4.0,29.0,9.0,9.0,26.0,41.0,-15.0,23.0,7.0,13,0
280,Vålerenga,Arna-Bjørnar,1.0,0.0,2019,40.0,25.2,41.0,26.0,22.4,26.0,2.0,41.0,24.0,17.0,46.0,11.0,9.0,26.0,41.0,-15.0,23.0,7.0,14,0
281,Avaldsnes,Arna-Bjørnar,2.0,1.0,2019,36.0,24.4,40.0,26.0,22.4,26.0,5.0,40.0,33.0,7.0,34.0,9.0,9.0,26.0,41.0,-15.0,23.0,7.0,1,0
282,Røa,Arna-Bjørnar,6.0,1.0,2019,35.0,22.9,39.0,26.0,22.4,26.0,6.0,40.0,35.0,5.0,29.0,16.0,9.0,26.0,41.0,-15.0,23.0,7.0,10,0
283,Stabæk,Arna-Bjørnar,0.0,1.0,2019,15.0,24.7,16.0,26.0,22.4,26.0,11.0,16.0,43.0,-27.0,13.0,9.0,9.0,26.0,41.0,-15.0,23.0,7.0,12,0
284,Fart,Arna-Bjørnar,1.0,3.0,2019,13.0,21.9,14.0,26.0,22.4,26.0,12.0,14.0,60.0,-46.0,10.0,4.0,9.0,26.0,41.0,-15.0,23.0,7.0,2,0
285,Kolbotn,Arna-Bjørnar,0.0,2.0,2019,32.0,21.8,35.0,26.0,22.4,26.0,8.0,35.0,39.0,-4.0,27.0,8.0,9.0,26.0,41.0,-15.0,23.0,7.0,6,0
286,LSK Kvinner,Røa,1.0,1.0,2019,44.0,25.3,50.0,35.0,22.9,39.0,1.0,51.0,18.0,33.0,50.0,12.0,6.0,40.0,35.0,5.0,29.0,16.0,7,10
287,Sandviken,Røa,0.0,2.0,2019,40.0,25.3,43.0,35.0,22.9,39.0,4.0,43.0,32.0,11.0,40.0,17.0,6.0,40.0,35.0,5.0,29.0,16.0,11,10
288,Klepp,Røa,1.0,0.0,2019,47.0,25.0,48.0,35.0,22.9,39.0,3.0,48.0,19.0,29.0,44.0,10.0,6.0,40.0,35.0,5.0,29.0,16.0,5,10
289,Lyn,Røa,1.0,1.0,2019,22.0,20.1,23.0,35.0,22.9,39.0,10.0,23.0,37.0,-14.0,20.0,10.0,6.0,40.0,35.0,5.0,29.0,16.0,8,10
290,Trondheims-Ørn,Røa,0.0,1.0,2019,24.0,21.9,26.0,35.0,22.9,39.0,7.0,26.0,22.0,4.0,29.0,9.0,6.0,40.0,35.0,5.0,29.0,16.0,13,10
291,Vålerenga,Røa,1.0,1.0,2019,40.0,25.2,41.0,35.0,22.9,39.0,2.0,41.0,24.0,17.0,46.0,11.0,6.0,40.0,35.0,5.0,29.0,16.0,14,10
292,Arna-Bjørnar,Røa,2.0,2.0,2019,26.0,22.4,26.0,35.0,22.9,39.0,9.0,26.0,41.0,-15.0,23.0,7.0,6.0,40.0,35.0,5.0,29.0,16.0,0,10
293,Avaldsnes,Røa,1.0,0.0,2019,36.0,24.4,40.0,35.0,22.9,39.0,5.0,40.0,33.0,7.0,34.0,9.0,6.0,40.0,35.0,5.0,29.0,16.0,1,10
294,Stabæk,Røa,0.0,2.0,2019,15.0,24.7,16.0,35.0,22.9,39.0,11.0,16.0,43.0,-27.0,13.0,9.0,6.0,40.0,35.0,5.0,29.0,16.0,12,10
295,Fart,Røa,1.0,1.0,2019,13.0,21.9,14.0,35.0,22.9,39.0,12.0,14.0,60.0,-46.0,10.0,4.0,6.0,40.0,35.0,5.0,29.0,16.0,2,10
296,Kolbotn,Røa,4.0,4.0,2019,32.0,21.8,35.0,35.0,22.9,39.0,8.0,35.0,39.0,-4.0,27.0,8.0,6.0,40.0,35.0,5.0,29.0,16.0,6,10
297,LSK Kvinner,Stabæk,4.0,0.0,2019,44.0,25.3,50.0,15.0,24.7,16.0,1.0,51.0,18.0,33.0,50.0,12.0,11.0,16.0,43.0,-27.0,13.0,9.0,7,12
298,Sandviken,Stabæk,3.0,0.0,2019,40.0,25.3,43.0,15.0,24.7,16.0,4.0,43.0,32.0,11.0,40.0,17.0,11.0,16.0,43.0,-27.0,13.0,9.0,11,12
299,Klepp,Stabæk,5.0,0.0,2019,47.0,25.0,48.0,15.0,24.7,16.0,3.0,48.0,19.0,29.0,44.0,10.0,11.0,16.0,43.0,-27.0,13.0,9.0,5,12
300,Lyn,Stabæk,2.0,0.0,2019,22.0,20.1,23.0,15.0,24.7,16.0,10.0,23.0,37.0,-14.0,20.0,10.0,11.0,16.0,43.0,-27.0,13.0,9.0,8,12
301,Trondheims-Ørn,Stabæk,3.0,1.0,2019,24.0,21.9,26.0,15.0,24.7,16.0,7.0,26.0,22.0,4.0,29.0,9.0,11.0,16.0,43.0,-27.0,13.0,9.0,13,12
302,Vålerenga,Stabæk,1.0,0.0,2019,40.0,25.2,41.0,15.0,24.7,16.0,2.0,41.0,24.0,17.0,46.0,11.0,11.0,16.0,43.0,-27.0,13.0,9.0,14,12
303,Arna-Bjørnar,Stabæk,2.0,2.0,2019,26.0,22.4,26.0,15.0,24.7,16.0,9.0,26.0,41.0,-15.0,23.0,7.0,11.0,16.0,43.0,-27.0,13.0,9.0,0,12
304,Avaldsnes,Stabæk,4.0,0.0,2019,36.0,24.4,40.0,15.0,24.7,16.0,5.0,40.0,33.0,7.0,34.0,9.0,11.0,16.0,43.0,-27.0,13.0,9.0,1,12
305,Røa,Stabæk,2.0,1.0,2019,35.0,22.9,39.0,15.0,24.7,16.0,6.0,40.0,35.0,5.0,29.0,16.0,11.0,16.0,43.0,-27.0,13.0,9.0,10,12
306,Fart,Stabæk,1.0,0.0,2019,13.0,21.9,14.0,15.0,24.7,16.0,12.0,14.0,60.0,-46.0,10.0,4.0,11.0,16.0,43.0,-27.0,13.0,9.0,2,12
307,Kolbotn,Stabæk,3.0,2.0,2019,32.0,21.8,35.0,15.0,24.7,16.0,8.0,35.0,39.0,-4.0,27.0,8.0,11.0,16.0,43.0,-27.0,13.0,9.0,6,12
308,LSK Kvinner,Lyn,6.0,0.0,2019,44.0,25.3,50.0,22.0,20.1,23.0,1.0,51.0,18.0,33.0,50.0,12.0,10.0,23.0,37.0,-14.0,20.0,10.0,7,8
309,Sandviken,Lyn,2.0,1.0,2019,40.0,25.3,43.0,22.0,20.1,23.0,4.0,43.0,32.0,11.0,40.0,17.0,10.0,23.0,37.0,-14.0,20.0,10.0,11,8
310,Klepp,Lyn,1.0,0.0,2019,47.0,25.0,48.0,22.0,20.1,23.0,3.0,48.0,19.0,29.0,44.0,10.0,10.0,23.0,37.0,-14.0,20.0,10.0,5,8
311,Trondheims-Ørn,Lyn,1.0,1.0,2019,24.0,21.9,26.0,22.0,20.1,23.0,7.0,26.0,22.0,4.0,29.0,9.0,10.0,23.0,37.0,-14.0,20.0,10.0,13,8
312,Vålerenga,Lyn,0.0,1.0,2019,40.0,25.2,41.0,22.0,20.1,23.0,2.0,41.0,24.0,17.0,46.0,11.0,10.0,23.0,37.0,-14.0,20.0,10.0,14,8
313,Arna-Bjørnar,Lyn,1.0,1.0,2019,26.0,22.4,26.0,22.0,20.1,23.0,9.0,26.0,41.0,-15.0,23.0,7.0,10.0,23.0,37.0,-14.0,20.0,10.0,0,8
314,Avaldsnes,Lyn,3.0,1.0,2019,36.0,24.4,40.0,22.0,20.1,23.0,5.0,40.0,33.0,7.0,34.0,9.0,10.0,23.0,37.0,-14.0,20.0,10.0,1,8
315,Røa,Lyn,2.0,3.0,2019,35.0,22.9,39.0,22.0,20.1,23.0,6.0,40.0,35.0,5.0,29.0,16.0,10.0,23.0,37.0,-14.0,20.0,10.0,10,8
316,Stabæk,Lyn,1.0,0.0,2019,15.0,24.7,16.0,22.0,20.1,23.0,11.0,16.0,43.0,-27.0,13.0,9.0,10.0,23.0,37.0,-14.0,20.0,10.0,12,8
317,Fart,Lyn,2.0,2.0,2019,13.0,21.9,14.0,22.0,20.1,23.0,12.0,14.0,60.0,-46.0,10.0,4.0,10.0,23.0,37.0,-14.0,20.0,10.0,2,8
318,Kolbotn,Lyn,0.0,0.0,2019,32.0,21.8,35.0,22.0,20.1,23.0,8.0,35.0,39.0,-4.0,27.0,8.0,10.0,23.0,37.0,-14.0,20.0,10.0,6,8
319,IF Fløya,Lyn,0.0,5.0,2019,,,,22.0,20.1,23.0,,,,,,,10.0,23.0,37.0,-14.0,20.0,10.0,4,8
320,LSK Kvinner,Klepp,0.0,1.0,2019,44.0,25.3,50.0,47.0,25.0,48.0,1.0,51.0,18.0,33.0,50.0,12.0,3.0,48.0,19.0,29.0,44.0,10.0,7,5
321,Sandviken,Klepp,2.0,1.0,2019,40.0,25.3,43.0,47.0,25.0,48.0,4.0,43.0,32.0,11.0,40.0,17.0,3.0,48.0,19.0,29.0,44.0,10.0,11,5
322,Lyn,Klepp,2.0,1.0,2019,22.0,20.1,23.0,47.0,25.0,48.0,10.0,23.0,37.0,-14.0,20.0,10.0,3.0,48.0,19.0,29.0,44.0,10.0,8,5
323,Trondheims-Ørn,Klepp,0.0,1.0,2019,24.0,21.9,26.0,47.0,25.0,48.0,7.0,26.0,22.0,4.0,29.0,9.0,3.0,48.0,19.0,29.0,44.0,10.0,13,5
324,Vålerenga,Klepp,4.0,0.0,2019,40.0,25.2,41.0,47.0,25.0,48.0,2.0,41.0,24.0,17.0,46.0,11.0,3.0,48.0,19.0,29.0,44.0,10.0,14,5
325,Arna-Bjørnar,Klepp,1.0,0.0,2019,26.0,22.4,26.0,47.0,25.0,48.0,9.0,26.0,41.0,-15.0,23.0,7.0,3.0,48.0,19.0,29.0,44.0,10.0,0,5
326,Avaldsnes,Klepp,1.0,3.0,2019,36.0,24.4,40.0,47.0,25.0,48.0,5.0,40.0,33.0,7.0,34.0,9.0,3.0,48.0,19.0,29.0,44.0,10.0,1,5
327,Røa,Klepp,1.0,4.0,2019,35.0,22.9,39.0,47.0,25.0,48.0,6.0,40.0,35.0,5.0,29.0,16.0,3.0,48.0,19.0,29.0,44.0,10.0,10,5
328,Stabæk,Klepp,0.0,2.0,2019,15.0,24.7,16.0,47.0,25.0,48.0,11.0,16.0,43.0,-27.0,13.0,9.0,3.0,48.0,19.0,29.0,44.0,10.0,12,5
329,Fart,Klepp,1.0,6.0,2019,13.0,21.9,14.0,47.0,25.0,48.0,12.0,14.0,60.0,-46.0,10.0,4.0,3.0,48.0,19.0,29.0,44.0,10.0,2,5
330,Kolbotn,Klepp,0.0,0.0,2019,32.0,21.8,35.0,47.0,25.0,48.0,8.0,35.0,39.0,-4.0,27.0,8.0,3.0,48.0,19.0,29.0,44.0,10.0,6,5
331,LSK Kvinner,Vålerenga,2.0,0.0,2019,44.0,25.3,50.0,40.0,25.2,41.0,1.0,51.0,18.0,33.0,50.0,12.0,2.0,41.0,24.0,17.0,46.0,11.0,7,14
332,Sandviken,Vålerenga,3.0,4.0,2019,40.0,25.3,43.0,40.0,25.2,41.0,4.0,43.0,32.0,11.0,40.0,17.0,2.0,41.0,24.0,17.0,46.0,11.0,11,14
333,Klepp,Vålerenga,5.0,0.0,2019,47.0,25.0,48.0,40.0,25.2,41.0,3.0,48.0,19.0,29.0,44.0,10.0,2.0,41.0,24.0,17.0,46.0,11.0,5,14
334,Lyn,Vålerenga,1.0,2.0,2019,22.0,20.1,23.0,40.0,25.2,41.0,10.0,23.0,37.0,-14.0,20.0,10.0,2.0,41.0,24.0,17.0,46.0,11.0,8,14
335,Trondheims-Ørn,Vålerenga,0.0,1.0,2019,24.0,21.9,26.0,40.0,25.2,41.0,7.0,26.0,22.0,4.0,29.0,9.0,2.0,41.0,24.0,17.0,46.0,11.0,13,14
336,Arna-Bjørnar,Vålerenga,0.0,2.0,2019,26.0,22.4,26.0,40.0,25.2,41.0,9.0,26.0,41.0,-15.0,23.0,7.0,2.0,41.0,24.0,17.0,46.0,11.0,0,14
337,Avaldsnes,Vålerenga,2.0,2.0,2019,36.0,24.4,40.0,40.0,25.2,41.0,5.0,40.0,33.0,7.0,34.0,9.0,2.0,41.0,24.0,17.0,46.0,11.0,1,14
338,Røa,Vålerenga,2.0,6.0,2019,35.0,22.9,39.0,40.0,25.2,41.0,6.0,40.0,35.0,5.0,29.0,16.0,2.0,41.0,24.0,17.0,46.0,11.0,10,14
339,Stabæk,Vålerenga,1.0,3.0,2019,15.0,24.7,16.0,40.0,25.2,41.0,11.0,16.0,43.0,-27.0,13.0,9.0,2.0,41.0,24.0,17.0,46.0,11.0,12,14
340,Fart,Vålerenga,0.0,1.0,2019,13.0,21.9,14.0,40.0,25.2,41.0,12.0,14.0,60.0,-46.0,10.0,4.0,2.0,41.0,24.0,17.0,46.0,11.0,2,14
341,Kolbotn,Vålerenga,1.0,2.0,2019,32.0,21.8,35.0,40.0,25.2,41.0,8.0,35.0,39.0,-4.0,27.0,8.0,2.0,41.0,24.0,17.0,46.0,11.0,6,14
342,LSK Kvinner,Trondheims-Ørn,2.0,0.0,2019,44.0,25.3,50.0,24.0,21.9,26.0,1.0,51.0,18.0,33.0,50.0,12.0,7.0,26.0,22.0,4.0,29.0,9.0,7,13
343,Sandviken,Trondheims-Ørn,1.0,0.0,2019,40.0,25.3,43.0,24.0,21.9,26.0,4.0,43.0,32.0,11.0,40.0,17.0,7.0,26.0,22.0,4.0,29.0,9.0,11,13
344,Klepp,Trondheims-Ørn,2.0,3.0,2019,47.0,25.0,48.0,24.0,21.9,26.0,3.0,48.0,19.0,29.0,44.0,10.0,7.0,26.0,22.0,4.0,29.0,9.0,5,13
345,Lyn,Trondheims-Ørn,0.0,3.0,2019,22.0,20.1,23.0,24.0,21.9,26.0,10.0,23.0,37.0,-14.0,20.0,10.0,7.0,26.0,22.0,4.0,29.0,9.0,8,13
346,Vålerenga,Trondheims-Ørn,3.0,1.0,2019,40.0,25.2,41.0,24.0,21.9,26.0,2.0,41.0,24.0,17.0,46.0,11.0,7.0,26.0,22.0,4.0,29.0,9.0,14,13
347,Arna-Bjørnar,Trondheims-Ørn,0.0,0.0,2019,26.0,22.4,26.0,24.0,21.9,26.0,9.0,26.0,41.0,-15.0,23.0,7.0,7.0,26.0,22.0,4.0,29.0,9.0,0,13
348,Avaldsnes,Trondheims-Ørn,0.0,1.0,2019,36.0,24.4,40.0,24.0,21.9,26.0,5.0,40.0,33.0,7.0,34.0,9.0,7.0,26.0,22.0,4.0,29.0,9.0,1,13
349,Røa,Trondheims-Ørn,2.0,1.0,2019,35.0,22.9,39.0,24.0,21.9,26.0,6.0,40.0,35.0,5.0,29.0,16.0,7.0,26.0,22.0,4.0,29.0,9.0,10,13
350,Stabæk,Trondheims-Ørn,1.0,1.0,2019,15.0,24.7,16.0,24.0,21.9,26.0,11.0,16.0,43.0,-27.0,13.0,9.0,7.0,26.0,22.0,4.0,29.0,9.0,12,13
351,Fart,Trondheims-Ørn,0.0,2.0,2019,13.0,21.9,14.0,24.0,21.9,26.0,12.0,14.0,60.0,-46.0,10.0,4.0,7.0,26.0,22.0,4.0,29.0,9.0,2,13
352,Kolbotn,Trondheims-Ørn,1.0,2.0,2019,32.0,21.8,35.0,24.0,21.9,26.0,8.0,35.0,39.0,-4.0,27.0,8.0,7.0,26.0,22.0,4.0,29.0,9.0,6,13
353,LSK Kvinner,Sandviken,2.0,0.0,2019,44.0,25.3,50.0,40.0,25.3,43.0,1.0,51.0,18.0,33.0,50.0,12.0,4.0,43.0,32.0,11.0,40.0,17.0,7,11
354,Klepp,Sandviken,2.0,3.0,2019,47.0,25.0,48.0,40.0,25.3,43.0,3.0,48.0,19.0,29.0,44.0,10.0,4.0,43.0,32.0,11.0,40.0,17.0,5,11
355,Lyn,Sandviken,1.0,1.0,2019,22.0,20.1,23.0,40.0,25.3,43.0,10.0,23.0,37.0,-14.0,20.0,10.0,4.0,43.0,32.0,11.0,40.0,17.0,8,11
356,Trondheims-Ørn,Sandviken,0.0,1.0,2019,24.0,21.9,26.0,40.0,25.3,43.0,7.0,26.0,22.0,4.0,29.0,9.0,4.0,43.0,32.0,11.0,40.0,17.0,13,11
357,Vålerenga,Sandviken,1.0,1.0,2019,40.0,25.2,41.0,40.0,25.3,43.0,2.0,41.0,24.0,17.0,46.0,11.0,4.0,43.0,32.0,11.0,40.0,17.0,14,11
358,Arna-Bjørnar,Sandviken,1.0,2.0,2019,26.0,22.4,26.0,40.0,25.3,43.0,9.0,26.0,41.0,-15.0,23.0,7.0,4.0,43.0,32.0,11.0,40.0,17.0,0,11
359,Avaldsnes,Sandviken,3.0,2.0,2019,36.0,24.4,40.0,40.0,25.3,43.0,5.0,40.0,33.0,7.0,34.0,9.0,4.0,43.0,32.0,11.0,40.0,17.0,1,11
360,Røa,Sandviken,2.0,2.0,2019,35.0,22.9,39.0,40.0,25.3,43.0,6.0,40.0,35.0,5.0,29.0,16.0,4.0,43.0,32.0,11.0,40.0,17.0,10,11
361,Stabæk,Sandviken,0.0,2.0,2019,15.0,24.7,16.0,40.0,25.3,43.0,11.0,16.0,43.0,-27.0,13.0,9.0,4.0,43.0,32.0,11.0,40.0,17.0,12,11
362,Fart,Sandviken,0.0,3.0,2019,13.0,21.9,14.0,40.0,25.3,43.0,12.0,14.0,60.0,-46.0,10.0,4.0,4.0,43.0,32.0,11.0,40.0,17.0,2,11
363,Kolbotn,Sandviken,3.0,2.0,2019,32.0,21.8,35.0,40.0,25.3,43.0,8.0,35.0,39.0,-4.0,27.0,8.0,4.0,43.0,32.0,11.0,40.0,17.0,6,11
364,LSK Kvinner,Avaldsnes,2.0,1.0,2019,44.0,25.3,50.0,36.0,24.4,40.0,1.0,51.0,18.0,33.0,50.0,12.0,5.0,40.0,33.0,7.0,34.0,9.0,7,1
365,Sandviken,Avaldsnes,6.0,4.0,2019,40.0,25.3,43.0,36.0,24.4,40.0,4.0,43.0,32.0,11.0,40.0,17.0,5.0,40.0,33.0,7.0,34.0,9.0,11,1
